城市,环比,同比,定基,城市,环比,同比,定基
城市,环比,同比,定基,城市,环比,同比,定基
上月=100,上年同月=100,2020年=100,上月=100,上年同月=100,2020年=100,,
北京,99.8,108.1,110.7,唐　　山,100.2,99.4,102.1
天津,99.7,101.5,100.2,秦皇岛,99.7,97.3,99.2
石家庄,99.2,97.3,96.4,包　　头,99.6,101.1,101.8
太原,99.2,97.3,95.9,丹　　东,99.7,101.8,103.9
呼和浩特,99.6,98.0,98.0,锦　　州,99.3,97.5,97.6
沈阳,99.7,102.4,105.5,吉　　林,99.9,99.3,98.4
大连,99.9,104.9,107.3,牡丹江,99.6,95.3,91.1
长春,99.6,99.0,98.5,无　　锡,99.6,104.0,107.3
哈尔滨,99.0,98.8,96.7,徐　　州,99.4,104.1,107.8
上海,99.9,106.7,109.4,扬　　州,99.5,104.2,106.1
南京,99.5,104.5,106.4,温　　州,99.8,103.6,106.0
杭州,99.9,105.5,108.1,金　　华,99.6,104.3,106.6
宁波,99.7,104.0,107.7,蚌　　埠,99.5,102.7,104.3
合肥,99.9,103.5,105.5,安　　庆,99.4,96.3,95.6
福州,99.9,104.2,104.9,泉　　州,99.3,104.8,107.0
厦门,99.8,102.5,104.2,九　　江,99.5,102.0,102.5
南昌,99.9,100.4,100.1,赣　　州,100.4,100.8,102.2
济南,99.5,101.1,99.9,烟　　台,99.8,102.6,102.9
青岛,99.6,101.4,100.7,济　　宁,100.0,103.2,105.5
郑州,99.3,101.3,99.9,洛　　阳,99.2,102.5,103.4
武汉,99.7,102.3,103.0,平顶山,99.7,100.5,102.0
长沙,100.0,105.5,106.1,宜　　昌,99.5,97.7,97.9
广州,99.5,106.9,110.9,襄　　阳,99.8,99.7,99.2
深圳,99.8,101.7,107.0,岳　　阳,99.8,97.3,97.8
南宁,99.4,98.8,100.3,常　　德,99.7,98.4,97.9
海口,100.3,107.4,109.2,韶　　关,99.5,99.9,100.2
重庆,100.0,104.7,105.3,湛　　江,99.8,100.2,100.2
成都,99.4,103.7,107.0,惠　　州,99.6,101.2,102.9
贵阳,99.3,98.2,96.9,桂　　林,99.3,99.0,100.1
昆明,99.7,100.1,101.2,北　　海,99.6,98.9,97.3
西安,99.5,106.0,107.5,三　　亚,100.0,106.0,106.1
兰州,99.7,101.9,103.6,泸　　州,99.1,100.0,99.2
西宁,99.3,103.1,106.3,南　　充,99.2,94.8,92.5
银川,99.7,103.5,107.6,遵　　义,99.8,98.7,99.0
乌鲁木齐,99.6,99.3,101.7,大　　理,99.0,98.1,99.0
